experiment,accuracy,macro_f1
E2_tfidf20000_unigram,0.44333333333333336,0.4211463991623283
E1_tfidf20000_uni_bi,0.43333333333333335,0.4056447787332555
E0_baseline_tfidf5000_uni_bi,0.4266666666666667,0.3987794198139026
